Source	Cluster	perClusterFreq	ClusterFreq	ClusterGenomeSize	perTotalFreq	TotalFreq	OdsRatio	pvalue	padj	AccnetGenomeSize	AccnetProteinSize	Type	TwinGroup	Description
Cluster_5323	1	0.9238095238095239	97	105	0.7386934673366834	147	1.2505992873339813	1.2980143687369378e-11	2.485684748915225e-10	199	27256	Cluster	Single	WP_097768817.1 DUF4049 domain-containing protein [Escherichia coli]
Cluster_28810	1	0.9714285714285714	102	105	0.7688442211055276	153	1.2634920634920634	2.10031709507859e-15	4.05448813003079e-14	199	27256	Cluster	Single	WP_032277904.1 carbonic anhydrase [Escherichia coli]
Cluster_23616	1	0.8285714285714286	87	105	0.6733668341708543	134	1.230490405117271	1.318916921720613e-7	2.4982909061603884e-6	199	27256	Cluster	Single	WP_086714346.1 hypothetical protein, partial [Escherichia coli]
Cluster_18929	1	0.9047619047619048	95	105	0.7135678391959799	142	1.267940979208585	1.4495520453841689e-11	2.7753434698406967e-10	199	27256	Cluster	Single	WP_086563262.1 fimbrial protein [Escherichia coli]
Cluster_16740	1	0.9714285714285714	102	105	0.6180904522613065	123	1.5716608594657375	4.306564382636361e-33	8.465471171272603e-32	199	27256	Cluster	Single	WP_032345098.1 sugar efflux transporter [Escherichia coli]
Cluster_8215	1	0.9238095238095239	97	105	0.7035175879396985	140	1.3131292517006803	1.0946481137045321e-14	2.1092377922344007e-13	199	27256	Cluster	Single	WP_096194962.1 fimbrial biogenesis outer membrane usher protein [Escherichia coli]
Cluster_24026	1	0.9523809523809523	100	105	0.7638190954773869	152	1.2468671679197996	4.994409699840302e-13	9.591025707029462e-12	199	27256	Cluster	Single	WP_065768889.1 LysR family transcriptional regulator, partial [Escherichia coli]
Cluster_28720	1	0.8857142857142857	93	105	0.6080402010050251	121	1.4566706021251477	1.6615916161645262e-19	3.2351974169655038e-18	199	27256	Cluster	Single	WP_040075865.1 amino acid permease [Escherichia coli]
Cluster_21345	1	0.8761904761904762	92	105	0.7738693467336684	154	1.1322201607915894	5.7926227355825614e-5	0.0010773477029005826	199	27256	Cluster	Single	WP_032255377.1 hypothetical protein [Escherichia coli]
Cluster_23366	1	0.9523809523809523	100	105	0.5577889447236181	111	1.7074217074217075	3.600542989472047e-39	7.094463622224893e-38	199	27256	Cluster	Twin_632	WP_032341522.1 phenylacetic acid degradation protein PaaD [Escherichia coli]
Cluster_22392	1	0.8952380952380953	94	105	0.7185929648241206	143	1.245820845820846	3.564296385424702e-10	6.80005792909386e-9	199	27256	Cluster	Single	WP_032266399.1 DUF2686 domain-containing protein [Escherichia coli]
Cluster_9898	1	1	105	105	0.7889447236180904	157	1.267515923566879	0	0	199	27256	Cluster	Twin_954	WP_001278723.1 XRE family transcriptional regulator [Escherichia coli]
Cluster_26123	1	0.8857142857142857	93	105	0.5577889447236181	111	1.587902187902188	4.4625532325629175e-26	8.74789210031224e-25	199	27256	Cluster	Single	WP_072251866.1 PTS 2-O-a-mannosyl-D-glycerate transporter subunit IIABC [Escherichia coli]
Cluster_15635	1	0.9523809523809523	100	105	0.7587939698492462	151	1.2551245663828445	1.8245975633420581e-13	3.506917396285956e-12	199	27256	Cluster	Single	WP_001331192.1 hypothetical protein [Escherichia coli]
Cluster_1825	1	0.8285714285714286	87	105	0.6984924623115578	139	1.1862281603288798	4.917334322380851e-6	9.229149220989375e-5	199	27256	Cluster	Single	WP_000912118.1 hypothetical protein [Escherichia coli]
Cluster_3262	1	0.8285714285714286	87	105	0.678391959798995	135	1.2213756613756614	2.822715715272048e-7	5.3361126146682555e-6	199	27256	Cluster	Single	WP_032206183.1 formate transporter [Escherichia coli]
Cluster_14533	1	0.9904761904761905	104	105	0.7788944723618091	155	1.2716436251920122	4.342102697394817e-18	8.422124241757877e-17	199	27256	Cluster	Single	WP_044722266.1 tartrate dehydrogenase [Escherichia coli]
Cluster_19415	1	0.9904761904761905	104	105	0.7437185929648241	148	1.3317889317889318	1.1667730252351786e-21	2.280020749911359e-20	199	27256	Cluster	Twin_1431	WP_000739324.1 polysaccharide export protein Wza [Escherichia coli]
Cluster_21519	1	0.9904761904761905	104	105	0.7738693467336684	154	1.2799010513296227	1.4006782894822243e-18	2.7194663744941752e-17	199	27256	Cluster	Single	WP_071532581.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae]
Cluster_12513	1	0.9428571428571428	99	105	0.5276381909547738	105	1.7869387755102042	1.5848878044108055e-43	3.1253195284933465e-42	199	27256	Cluster	Single	WP_072276544.1 fimbrial biogenesis outer membrane usher protein [Escherichia coli]
Cluster_19589	1	0.8095238095238095	85	105	0.592964824120603	118	1.3652138821630346	3.726356350529049e-12	7.144190167024848e-11	199	27256	Cluster	Single	WP_078398870.1 hypothetical protein [Escherichia coli]
Cluster_18669	1	0.9047619047619048	95	105	0.7085427135678392	141	1.2769334684228302	5.537047331373818e-12	1.0612587527087614e-10	199	27256	Cluster	Single	WP_087597772.1 outer membrane usher protein [Escherichia coli]
Cluster_24886	1	0.9904761904761905	104	105	0.6884422110552764	137	1.4387208898157804	5.25331553136825e-28	1.0306140666227818e-26	199	27256	Cluster	Single	WP_000646149.1 glutathione-dependent formaldehyde dehydrogenase [Escherichia coli]
Cluster_12823	1	1	105	105	0.7839195979899497	156	1.2756410256410258	0	0	199	27256	Cluster	Twin_70	WP_000211165.1 MULTISPECIES: 3-phenylpropionate/cinnamic acid dioxygenase subunit alpha [Enterobacteriaceae]
Cluster_14534	1	0.9904761904761905	104	105	0.7688442211055276	153	1.2882664176781824	4.456703648352555e-19	8.664689184316596e-18	199	27256	Cluster	Single	WP_032210491.1 hypothetical protein [Escherichia coli]
Cluster_25416	1	0.9714285714285714	102	105	0.6834170854271356	136	1.4214285714285715	2.5036168891149315e-24	4.901531276174279e-23	199	27256	Cluster	Single	WP_097374997.1 C4-dicarboxylate transporter [Escherichia coli]
Cluster_15338	1	0.9523809523809523	100	105	0.7638190954773869	152	1.2468671679197996	4.994409699840302e-13	9.591025707029462e-12	199	27256	Cluster	Single	WP_001035659.1 MULTISPECIES: sel1 repeat family protein [Escherichia]
Cluster_4046	1	0.8857142857142857	93	105	0.5226130653266332	104	1.6947802197802195	6.161113325072975e-32	1.2105000902652945e-30	199	27256	Cluster	Single	WP_022645205.1 MULTISPECIES: type VI secretion system tube protein Hcp [Enterobacteriaceae]
Cluster_15487	1	0.9238095238095239	97	105	0.5326633165829145	106	1.734321653189578	8.575278596446958e-38	1.688658111774225e-36	199	27256	Cluster	Single	WP_000951966.1 MULTISPECIES: NAD(P)-dependent oxidoreductase [Enterobacteriaceae]
Cluster_1727	1	0.9523809523809523	100	105	0.7939698492462312	158	1.1995177817962628	1.5549340861441378e-10	2.9691072033920678e-9	199	27256	Cluster	Single	WP_001151867.1 RNA 2'-phosphotransferase [Escherichia coli]
Cluster_9971	1	0.9714285714285714	102	105	0.7638190954773869	152	1.2718045112781955	7.16252198356119e-16	1.3834711946557282e-14	199	27256	Cluster	Single	WP_001241284.1 type II toxin-antitoxin system HicB family antitoxin [Escherichia coli]
Cluster_3310	1	0.9523809523809523	100	105	0.7738693467336684	154	1.2306740878169449	3.5814961644782047e-12	6.867125405118227e-11	199	27256	Cluster	Single	WP_032140582.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae]
Cluster_26260	1	0.8380952380952381	88	105	0.5628140703517588	112	1.4891156462585033	1.7318457349930692e-18	3.361783325694652e-17	199	27256	Cluster	Single	WP_001352078.1 hypothetical protein [Escherichia coli]
Cluster_15157	1	1	105	105	0.7688442211055276	153	1.3006535947712419	0	0	199	27256	Cluster	Single	WP_001281364.1 MULTISPECIES: 3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase [Enterobacteriaceae]
Cluster_24597	1	0.8761904761904762	92	105	0.47738693467336685	95	1.835388471177945	2.3078608148342717e-40	4.549182009647433e-39	199	27256	Cluster	Single	WP_072644176.1 hypothetical protein [Escherichia coli]
Cluster_26511	1	0.8761904761904762	92	105	0.5527638190954773	110	1.5851082251082251	2.810238577243873e-25	5.504538302604293e-24	199	27256	Cluster	Single	WP_077627620.1 hypothetical protein [Escherichia coli]
Cluster_23907	1	0.9714285714285714	102	105	0.7236180904522613	144	1.3424603174603174	7.528213776626278e-20	1.4670713806555283e-18	199	27256	Cluster	Single	WP_065768509.1 molecular chaperone, partial [Escherichia coli]
Cluster_19069	1	0.9523809523809523	100	105	0.7487437185929648	149	1.2719718759987215	2.327577298335652e-14	4.4805835607501957e-13	199	27256	Cluster	Single	WP_057696209.1 peptide ABC transporter ATP-binding protein [Escherichia coli]
Cluster_13566	1	0.9523809523809523	100	105	0.7638190954773869	152	1.2468671679197996	4.994409699840302e-13	9.591025707029462e-12	199	27256	Cluster	Single	WP_001030944.1 DUF1266 domain-containing protein [Escherichia coli]
Cluster_3224	1	0.9714285714285714	102	105	0.5326633165829145	106	1.8237196765498653	2.462592636411796e-50	4.859964404536459e-49	199	27256	Cluster	Single	WP_047087812.1 hypothetical protein [Escherichia coli]
Cluster_19317	1	0.8380952380952381	88	105	0.7035175879396985	140	1.1912925170068027	2.151585539867054e-6	4.050073235445433e-5	199	27256	Cluster	Single	WP_050571742.1 autoinducer-2 kinase [Escherichia coli]
Cluster_15034	1	0.9619047619047619	101	105	0.7688442211055276	153	1.2511048863990042	6.299917255086865e-14	1.2117950454028728e-12	199	27256	Cluster	Single	WP_000918526.1 MULTISPECIES: amino acid permease [Enterobacteriaceae]
Cluster_28161	1	1	105	105	0.7839195979899497	156	1.2756410256410258	0	0	199	27256	Cluster	Single	WP_000067826.1 MULTISPECIES: ring-hydroxylating oxygenase subunit alpha [Enterobacteriaceae]
Cluster_29550	1	0.9047619047619048	95	105	0.6733668341708543	134	1.34363894811656	3.901611931101125e-15	7.527354974276633e-14	199	27256	Cluster	Single	WP_000786513.1 J domain-containing protein [Escherichia coli]
Cluster_24700	1	0.9809523809523809	103	105	0.5276381909547738	105	1.859138321995465	2.943495544023626e-55	5.811917149083253e-54	199	27256	Cluster	Single	WP_072643958.1 hypothetical protein [Escherichia coli]
Cluster_9618	1	0.8857142857142857	93	105	0.6231155778894473	124	1.4214285714285713	8.054325507420287e-18	1.5614893024571834e-16	199	27256	Cluster	Single	WP_089629633.1 hypothetical protein [Escherichia coli]
Cluster_584	1	0.9809523809523809	103	105	0.5376884422110553	107	1.8243880729862039	5.446940144295292e-52	1.0751753772273908e-50	199	27256	Cluster	Single	WP_001297138.1 MULTISPECIES: hypothetical protein [Proteobacteria]
Cluster_7549	1	1	105	105	0.6231155778894473	124	1.6048387096774193	0	0	199	27256	Cluster	Single	WP_001522592.1 MULTISPECIES: UTRA domain-containing protein [Enterobacteriaceae]
Cluster_24186	1	0.9904761904761905	104	105	0.7788944723618091	155	1.2716436251920122	4.342102697394817e-18	8.422124241757877e-17	199	27256	Cluster	Single	WP_065768943.1 hypothetical protein [Escherichia coli]
Cluster_20934	1	0.9428571428571428	99	105	0.7135678391959799	142	1.321327967806841	2.6703114144583335e-16	5.160324357974971e-15	199	27256	Cluster	Single	WP_072134488.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae]
Cluster_21523	1	0.9523809523809523	100	105	0.6432160804020101	128	1.4806547619047619	1.1057106564917204e-25	2.166657771104719e-24	199	27256	Cluster	Single	WP_032255863.1 cyclic diguanylate phosphodiesterase [Escherichia coli]
Cluster_21297	1	0.9714285714285714	102	105	0.7989949748743719	159	1.21581311769991	1.0006552730025408e-12	1.9206833261956957e-11	199	27256	Cluster	Single	WP_032255291.1 MFS transporter [Escherichia coli]
Cluster_4097	1	0.9619047619047619	101	105	0.7688442211055276	153	1.2511048863990042	6.299917255086865e-14	1.2117950454028728e-12	199	27256	Cluster	Single	WP_022645641.1 MULTISPECIES: amidohydrolase [Enterobacteriaceae]
Cluster_24957	1	0.9714285714285714	102	105	0.7336683417085427	146	1.3240704500978475	8.199407336537137e-19	1.5930324585612637e-17	199	27256	Cluster	Single	WP_001247608.1 YjbF family lipoprotein [Escherichia coli]
Cluster_7669	1	0.9523809523809523	100	105	0.5577889447236181	111	1.7074217074217075	3.600542989472047e-39	7.094463622224893e-38	199	27256	Cluster	Twin_632	WP_019842675.1 MULTISPECIES: 3-hydroxyacyl-CoA dehydrogenase PaaC [Enterobacteriaceae]
Cluster_12840	1	0.9904761904761905	104	105	0.6331658291457286	126	1.5643235071806503	1.2803233285910162e-35	2.5197371017934227e-34	199	27256	Cluster	Single	WP_096221939.1 2,3-diketo-L-gulonate TRAP transporter small permease YiaM, partial [Escherichia coli]
Cluster_19188	1	0.8952380952380953	94	105	0.7135678391959799	142	1.2545942320590209	1.4441244131073552e-10	2.758048522140209e-9	199	27256	Cluster	Single	WP_097475666.1 carbohydrate porin [Escherichia coli]
Cluster_2318	1	1	105	105	0.7839195979899497	156	1.2756410256410258	0	0	199	27256	Cluster	Single	WP_000531454.1 NADP-dependent oxidoreductase, partial [Escherichia coli]
Cluster_13109	1	0.9714285714285714	102	105	0.7989949748743719	159	1.21581311769991	1.0006552730025408e-12	1.9206833261956957e-11	199	27256	Cluster	Single	WP_001393459.1 DUF1537 domain-containing protein [Escherichia coli]
Cluster_14467	1	0.9142857142857143	96	105	0.6130653266331658	122	1.4913348946135832	4.2768300605961253e-23	8.364858763684154e-22	199	27256	Cluster	Single	WP_000882234.1 hypothetical protein [Escherichia coli]
Cluster_18912	1	0.9428571428571428	99	105	0.7688442211055276	153	1.2263305322128852	2.1903173824058784e-11	4.1916111636987074e-10	199	27256	Cluster	Single	WP_086563805.1 hypothetical protein [Escherichia coli]
Cluster_4486	1	0.9809523809523809	103	105	0.7738693467336684	154	1.2675943104514533	1.3376477664555242e-16	2.585983080385304e-15	199	27256	Cluster	Single	WP_000142799.1 MULTISPECIES: periplasmic pilin chaperone [Proteobacteria]
Cluster_12281	1	0.9904761904761905	104	105	0.6884422110552764	137	1.4387208898157804	5.25331553136825e-28	1.0306140666227818e-26	199	27256	Cluster	Single	WP_047149253.1 MULTISPECIES: DUF1311 domain-containing protein [Enterobacteriaceae]
Cluster_16356	1	0.9428571428571428	99	105	0.7336683417085427	146	1.2851272015655577	2.0522295683854463e-14	3.953217836428044e-13	199	27256	Cluster	Single	WP_001389254.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae]
Cluster_15124	1	0.9714285714285714	102	105	0.6934673366834171	138	1.4008281573498964	3.7307465290598727e-23	7.297516270570907e-22	199	27256	Cluster	Single	WP_000290599.1 hypothetical protein [Escherichia coli]
Cluster_381	1	1	105	105	0.7839195979899497	156	1.2756410256410258	0	0	199	27256	Cluster	Single	WP_071524599.1 MULTISPECIES: LexA family transcriptional regulator [Enterobacteriaceae]
Cluster_22988	1	0.9428571428571428	99	105	0.5577889447236181	111	1.6903474903474904	5.564422807566765e-37	1.0954300110794185e-35	199	27256	Cluster	Single	WP_038340178.1 aldehyde dehydrogenase [Escherichia coli]
Cluster_4431	1	0.8666666666666667	91	105	0.6633165829145728	132	1.3065656565656567	9.265522460987436e-12	1.7748511041571645e-10	199	27256	Cluster	Single	WP_001326472.1 MULTISPECIES: hypothetical protein [Proteobacteria]
Cluster_16732	1	0.9142857142857143	96	105	0.49748743718592964	99	1.8378066378066378	2.696583996643598e-44	5.318583497346565e-43	199	27256	Cluster	Single	WP_032345464.1 hypothetical protein [Escherichia coli]
Cluster_11733	1	0.8095238095238095	85	105	0.6432160804020101	128	1.2585565476190477	3.5261404136207534e-8	6.697069942306327e-7	199	27256	Cluster	Single	WP_071678647.1 hypothetical protein [Escherichia coli]
Cluster_25348	1	0.8857142857142857	93	105	0.7587939698492462	151	1.1672658467360455	1.5873315194348772e-6	2.9890717692825884e-5	199	27256	Cluster	Single	WP_001347559.1 MULTISPECIES: MFS transporter [Enterobacteriaceae]
Cluster_10519	1	0.9809523809523809	103	105	0.7386934673366834	147	1.3279559442824749	4.3383459174792684e-20	8.461875360325131e-19	199	27256	Cluster	Single	WP_086251780.1 protein-tyrosine kinase [Escherichia coli]
Cluster_1947	1	1	105	105	0.7487437185929648	149	1.3355704697986577	0	0	199	27256	Cluster	Single	WP_077626202.1 MULTISPECIES: fimbrial protein [Enterobacteriaceae]
Cluster_26859	1	0.9523809523809523	100	105	0.7236180904522613	144	1.316137566137566	1.0241185094654971e-16	1.9800508405900417e-15	199	27256	Cluster	Single	WP_052318237.1 p-aminobenzoyl-glutamate transporter [Escherichia coli]
Cluster_30163	1	0.9333333333333333	98	105	0.628140703517588	125	1.4858666666666667	2.826812137228728e-24	5.532642680089167e-23	199	27256	Cluster	Single	WP_021540164.1 hypothetical protein [Escherichia coli]
Cluster_25706	1	0.9619047619047619	101	105	0.7537688442211056	150	1.276126984126984	2.7096546005864354e-15	5.229241061249027e-14	199	27256	Cluster	Single	WP_097374976.1 LysR family transcriptional regulator, partial [Escherichia coli]
Cluster_53	1	1	105	105	0.7839195979899497	156	1.2756410256410258	0	0	199	27256	Cluster	Twin_70	WP_001080102.1 MULTISPECIES: 3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit [Proteobacteria]
Cluster_8018	1	0.8857142857142857	93	105	0.7035175879396985	140	1.2589795918367346	2.1025808515092676e-10	4.012513457514276e-9	199	27256	Cluster	Single	WP_062878073.1 esterase family protein, partial [Escherichia coli]
Cluster_1392	1	0.9238095238095239	97	105	0.7135678391959799	142	1.294634473507713	9.023881466122672e-14	1.7352486819213636e-12	199	27256	Cluster	Single	WP_001339547.1 fimbrial chaperone [Escherichia coli]
Cluster_15241	1	0.9904761904761905	104	105	0.7587939698492462	151	1.3053295490381585	4.323324488597848e-20	8.433403347457281e-19	199	27256	Cluster	Single	WP_074497599.1 acetyl-CoA hydrolase [Escherichia coli]
Cluster_14536	1	0.9619047619047619	101	105	0.7638190954773869	152	1.2593358395989975	2.2399935580341507e-14	4.3136549811320646e-13	199	27256	Cluster	Single	WP_000916087.1 hydrogenase 4 subunit H [Escherichia coli]
Cluster_16697	1	0.9047619047619048	95	105	0.6180904522613065	123	1.4638017808749515	4.9602643466162724e-21	9.686316476973608e-20	199	27256	Cluster	Single	WP_032345152.1 SIS domain-containing protein [Escherichia coli]
Cluster_10659	1	0.9904761904761905	104	105	0.5778894472361809	115	1.7139544513457559	2.2227668751671346e-45	4.3849241853138065e-44	199	27256	Cluster	Single	WP_086251750.1 DUF559 domain-containing protein [Escherichia coli]
Cluster_15069	1	0.9714285714285714	102	105	0.7487437185929648	149	1.297411313518696	2.5998297496539716e-17	5.035372701296336e-16	199	27256	Cluster	Single	WP_001366784.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae]
Cluster_28243	1	0.9523809523809523	100	105	0.7487437185929648	149	1.2719718759987215	2.327577298335652e-14	4.4805835607501957e-13	199	27256	Cluster	Single	WP_072644795.1 ABC transporter substrate-binding protein [Escherichia coli]
Cluster_27295	1	1	105	105	0.7738693467336684	154	1.2922077922077921	0	0	199	27256	Cluster	Single	WP_063102920.1 hypothetical protein [Escherichia coli]
Cluster_1984	1	0.8952380952380953	94	105	0.6080402010050251	121	1.4723337268791816	7.586330700136974e-21	1.4810090077209939e-19	199	27256	Cluster	Single	WP_001147284.1 hypothetical protein [Escherichia coli]
Cluster_5327	1	0.8761904761904762	92	105	0.7185929648241206	143	1.2193140193140193	2.1185604858009295e-8	4.0256267893714857e-7	199	27256	Cluster	Single	WP_001514500.1 MULTISPECIES: type I-E CRISPR-associated endoribonuclease Cas2 [Enterobacteriaceae]
Cluster_23140	1	0.9619047619047619	101	105	0.6532663316582915	130	1.4724542124542124	3.4890349822367483e-26	6.840189576299246e-25	199	27256	Cluster	Single	WP_038339022.1 molecular chaperone [Escherichia coli]
Cluster_29987	1	0.9142857142857143	96	105	0.7286432160804021	145	1.2547783251231526	2.278152289884459e-11	4.3592814137875803e-10	199	27256	Cluster	Single	WP_032214759.1 autoinducer 2 ABC transporter ATP-binding protein LsrA [Escherichia coli]
Cluster_29174	1	0.9809523809523809	103	105	0.7688442211055276	153	1.275879240585123	4.437603489859641e-17	8.589769890556112e-16	199	27256	Cluster	Single	WP_001287042.1 oxidoreductase [Escherichia coli]
Cluster_7578	1	0.8380952380952381	88	105	0.6633165829145728	132	1.2634920634920634	4.391163851117145e-9	8.359935251372014e-8	199	27256	Cluster	Single	WP_001521915.1 MULTISPECIES: xanthine dehydrogenase accessory factor [Enterobacteriaceae]
Cluster_441	1	0.8857142857142857	93	105	0.47738693467336685	95	1.8553383458646615	6.3263404564019585e-43	1.247275387259373e-41	199	27256	Cluster	Single	WP_071526432.1 hypothetical protein [Escherichia coli]
Cluster_5313	1	0.9523809523809523	100	105	0.7386934673366834	147	1.289277615808228	2.7899858106140534e-15	5.383223988170832e-14	199	27256	Cluster	Single	WP_001485118.1 PTS beta-glucoside transporter subunit IIABC [Escherichia coli]
Cluster_13918	1	0.9904761904761905	104	105	0.7839195979899497	156	1.2634920634920637	1.3281725897913896e-17	2.5744217240031347e-16	199	27256	Cluster	Single	WP_001414705.1 MULTISPECIES: hypothetical protein [Enterobacteriaceae]
Cluster_25285	1	0.9809523809523809	103	105	0.7638190954773869	152	1.2842731829573935	1.4514872078261714e-17	2.8120744769633777e-16	199	27256	Cluster	Single	WP_000985272.1 membrane protein [Escherichia coli]
Cluster_19408	1	0.8857142857142857	93	105	0.7839195979899497	156	1.1298534798534798	4.739590462984566e-5	8.820635450697857e-4	199	27256	Cluster	Single	WP_000627858.1 membrane protein [Escherichia coli]
Cluster_22933	1	0.9809523809523809	103	105	0.7638190954773869	152	1.2842731829573935	1.4514872078261714e-17	2.8120744769633777e-16	199	27256	Cluster	Single	WP_038340482.1 ABC transporter ATP-binding protein [Escherichia coli]
Cluster_15313	1	0.9523809523809523	100	105	0.6834170854271356	136	1.3935574229691876	6.828044099883945e-21	1.3332374720543733e-19	199	27256	Cluster	Single	WP_000032643.1 MULTISPECIES: fimbrial protein [Escherichia]
Cluster_20009	1	0.9714285714285714	102	105	0.7638190954773869	152	1.2718045112781955	7.16252198356119e-16	1.3834711946557282e-14	199	27256	Cluster	Single	WP_097739468.1 4-aminobutyrate transaminase [Escherichia coli]
Cluster_25237	1	0.9238095238095239	97	105	0.5577889447236181	111	1.6561990561990563	5.7495958119765465e-33	1.130094042596574e-31	199	27256	Cluster	Single	WP_061362227.1 primary-amine oxidase [Escherichia coli]
Cluster_30425	1	0.9238095238095239	97	105	0.7487437185929648	149	1.23381271971876	8.439282254974484e-11	1.6126981755113824e-09	199	27256	Cluster	Single	WP_021540385.1 amidohydrolase [Escherichia coli]
Cluster_24392	1	0.8666666666666667	91	105	0.7587939698492462	151	1.1421633554083885	3.6951560499202924e-5	6.886552030843085e-4	199	27256	Cluster	Single	WP_074441681.1 hypothetical protein, partial [Escherichia coli]
Cluster_10837	1	0.9523809523809523	100	105	0.5728643216080402	114	1.6624895572263991	2.6328176008665955e-36	5.182535682913289e-35	199	27256	Cluster	Single	WP_078165185.1 phenylacetic acid degradation operon negative regulatory protein PaaX [Escherichia coli]
Cluster_28800	1	0.9428571428571428	99	105	0.7437185929648241	148	1.2677606177606178	1.6268368953770093e-13	3.1277237234968937e-12	199	27256	Cluster	Single	WP_000671743.1 TIGR00156 family protein [Escherichia coli]
Cluster_21457	1	0.8285714285714286	87	105	0.5376884422110553	107	1.5409879839786382	2.3986942118838823e-20	4.681369825375995e-19	199	27256	Cluster	Single	WP_032256762.1 stationary phase growth adaptation protein [Escherichia coli]
Cluster_464	1	0.9333333333333333	98	105	0.5628140703517588	112	1.6583333333333334	5.1652729812475365e-34	1.0156457544328293e-32	199	27256	Cluster	Twin_494	WP_000073393.1 MULTISPECIES: 1,2-phenylacetyl-CoA epoxidase subunit B [Enterobacteriaceae]
Cluster_24911	1	1	105	105	0.5778894472361809	115	1.7304347826086959	0	0	199	27256	Cluster	Single	WP_001443639.1 hypothetical protein [Escherichia coli]
Cluster_30215	1	0.9809523809523809	103	105	0.7587939698492462	151	1.2927783033743299	4.679308866701608e-18	9.074413523574098e-17	199	27256	Cluster	Single	WP_021540493.1 glycoside hydrolase family 1 protein [Escherichia coli]
Cluster_11335	1	0.9238095238095239	97	105	0.6582914572864321	131	1.4033442384587425	3.1079289182671383e-19	6.047732244152808e-18	199	27256	Cluster	Single	WP_001211511.1 hypothetical protein [Escherichia coli]
Cluster_24459	1	1	105	105	0.7738693467336684	154	1.2922077922077921	0	0	199	27256	Cluster	Single	WP_097448389.1 hypothetical protein [Escherichia coli]
Cluster_23232	1	0.9333333333333333	98	105	0.5628140703517588	112	1.6583333333333334	5.1652729812475365e-34	1.0156457544328293e-32	199	27256	Cluster	Twin_494	WP_001189191.1 phenylacetate-CoA oxygenase subunit PaaJ [Escherichia coli]
